# evidence: filter_shapes
# what: read_rows, read_bytes, marks, parts and EXPLAIN key condition per filter shape, cold and warm
# run_utc: 2026-08-01 16:20:30
# git: dc82a06-dirty
# host: ss-cric
# row_count: 1171323
# event_watermark: 2026-08-01 16:20:25.952
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 16:20:31   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
shape	cold_ms	warm_ms	read_rows	read_bytes	selected_marks	selected_parts	memory_bytes	key_condition
unfiltered	11	12	30439	243512	4	1	1172336	(minute in (-Inf, 1785542399]) ; granules 8/8
platform	12	11	16384	147533	2	1	1303494	and((minute in (-Inf, 1785542399]), (platform in ['ANDROID_PHONE', 'ANDROID_PHONE'])) ; granules 2/4
country	11	NA	NA	NA	NA	NA	NA	and((minute in (-Inf, 1785542399]), (country in ['india', 'india'])) ; granules 4/4
content	12	14	30662	490592	4	1	1091406	and((minute in (-Inf, 1785542399]), (content_id in [2078157818, 2078157818])) ; granules 4/4
video_type	12	11	30662	275989	4	1	1357262	and((minute in (-Inf, 1785542399]), (video_type in ['vod', 'vod'])) ; granules 4/4
